,claim
1482,"Also found was that the correlation between solar activity and global temperatures ended around 1975, hence recent warming must have some other cause than solar variations."
1483,A South African paper has found a 21 year cycle synchronous with the solar cycle (Alexander 2007).
1484,"Some of the regions in which  GRACE claims ice loss in East Antarctica average colder than -30°C  during the summer, and never, ever get above freezing."
1485,"Unlike the simple example of positive feedback we learned in high school, the increase from every round of feedback gets smaller and smaller, in the case of the enhanced greenhouse effect."
1486,"Consequently, CO2 levels at around 1,000 to 2,300 ppm were actually low enough to promote glaciation in the southern continent of Gondwana."
1487,"Since rock weathering reduces atmospheric CO2, this again reinforces the scientific fact that CO2 is a strong driver of climate."
1488,"Clearly, other factors besides atmospheric carbon influence earth temperatures and global warming."""
1489,"Hocker is claiming that his model shows that the long-term upward trend in CO2 is explained by temperature, when his methods actually removed the long-term trend."
1490,"Thousands of coral atolls have ""drowned"" in the past when they were unable to grow fast enough to maintain a presence at sea level"
1491,There are many lines of evidence which clearly show that the atmospheric CO2 increase is caused by humans.
1492,The clearest of these is simple accounting - humans are emitting CO2 at a rate twice as fast as the atmospheric increase (natural sinks are absorbing the other half).
1493,There is no question whatsoever that the CO2 increase is human-caused.
1494,"that atmospheric CO2 increase that we observe is a product of temperature  increase, and not the other way around, meaning it is a product of  natural variation..."
1495,"Once natural influences, in particular the impact of El Niño and La Niña, are removed from the recent termperature record, there is no evidence of a significant change in the human contribution to climate change."
1496,"""...there has been no increase in the global average surface temperature for the past 16 years"" (Judith Curry and David Rose)"
1497,"""The observed data show that CFCs conspiring with cosmic rays most likely caused both the Antarctic ozone hole and global warming..."
1498,"Correspondingly, the global surface temperature has also dropped."""
1499,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.
1500,This increases confidence in other peer-reviewed research predicting sea level rise of 80cm to 2 metres by 2100.
1501,'Another global warming myth comes crashing down.
1502,"No warming since at least 1995, no melting glaciers and now no rising sea levels."
1503,"The claim that 2.2 conventional jobs are destroyed   for  every new job created in the alternative energy industry is based on a study which relies on incorrect numbers, cherrypicked dates, faulty theory, flawed methodology, and is disproven by real-world examples."
1504,"for every renewable energy job that the State manages to finance, Spain’s experience...reveals with high confidence, by two different methods, that the U.S. should expect a loss of at least 2.2 jobs on average"
1505,Continued greenhouse gas emissions at or above current rates would cause further warming and induce many changes in the global climate system during the 21st century that would very likely be larger than those observed during the 20th century.
1506,"So this is a government which is proposing to put at risk our manufacturing industry, to penalise struggling families, to make a tough situation worse for millions of households right around Australia."
1507,"""a paper...in Science magazine concludes that the climate sensitivity—how much the earth’s average temperature will rise as a result of a doubling of the atmospheric concentration of carbon dioxide—likely (that is, with a 66% probability) lies in the range 1.7°C to 2.6°C, with a median value of 2.3°C."
1508,"Fourth Assessment Report (AR4), in which the likely range is given as 2.0°C to 4.5°C, with a best estimate of 3.0°C"" (Pat Michaels)"
1509,Multiple lines of evidence indicate Greenland's ice loss is accelerating and will contribute sea level rise in the order of metres over the next few centuries.
1510,"This was the case last year too, while earlier  years in the DMI analysis period (1958-2010) hardly ever shows Arctic  melt season temperatures this cold (Frank Lansner)"
